#,User ,FL,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Logs (Donated vs. T1/T2/T3/T4),Time stamp,Behavior (Self-disclosure/AI behavior),Coding theme,Level,Relevant quotes ,Topic (for self-disclosure only),Topic thematic category (for self-disclosure only)
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:41:50 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession","Maybe. There are many scars, I’m sure. I really try my best to be pragmatic, middle of the road. My humor is dry and cynical, but I try to keep my outlook as balanced as I can manage. Too much positivity or negativity can be bad",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:42:08 AM ",AI behavior,Listening strategy,Question-asking ,"Being pragmatic can help shield you from getting hurt again, but it's also great that you're aware of the importance of balance. Dry humor can be a great coping mechanism, too - it helps keep things in perspective. Does having a balanced outlook help you deal with the cynicism that comes naturally to you?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:42:08 AM ",AI behavior,Listening strategy,Perspective-taking,"Being pragmatic can help shield you from getting hurt again, but it's also great that you're aware of the importance of balance. Dry humor can be a great coping mechanism, too - it helps keep things in perspective. Does having a balanced outlook help you deal with the cynicism that comes naturally to you?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:44:00 AM",Self-disclosure,Level of disclosure,Low,"Yeah, I remind myself that I can’t see the future, so I don’t objectively know how many things will turn out (or whatever)…. Understand?",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:44:00 AM",Self-disclosure,Depth of disclosure,Central layer,"Yeah, I remind myself that I can’t see the future, so I don’t objectively know how many things will turn out (or whatever)…. Understand?",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:44:00 AM",Self-disclosure,Initmacy of self-disclosure,Core layer,"Yeah, I remind myself that I can’t see the future, so I don’t objectively know how many things will turn out (or whatever)…. Understand?",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:44:00 AM",Self-disclosure,Disclosure as confession,No,"Yeah, I remind myself that I can’t see the future, so I don’t objectively know how many things will turn out (or whatever)…. Understand?",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:49:48 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",I think it's great that you're drawn to Buddhism - there's definitely some valuable insights to be gained from its teachings. What specifically resonates with you about it so far?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:49:48 AM",AI behavior,Listening strategy,Question-asking ,I think it's great that you're drawn to Buddhism - there's definitely some valuable insights to be gained from its teachings. What specifically resonates with you about it so far?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:52:59 AM",Self-disclosure,Level of disclosure,Low,"I was introduced to ACT and DBT in therapy, which are based on some Buddhist principles. All of it just makes more sense to me than other perspectives or religions.",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:52:59 AM",Self-disclosure,Depth of disclosure,Peripheral layer,"I was introduced to ACT and DBT in therapy, which are based on some Buddhist principles. All of it just makes more sense to me than other perspectives or religions.",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:52:59 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate layer,"I was introduced to ACT and DBT in therapy, which are based on some Buddhist principles. All of it just makes more sense to me than other perspectives or religions.",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:52:59 AM",Self-disclosure,Disclosure as confession,No,"I was introduced to ACT and DBT in therapy, which are based on some Buddhist principles. All of it just makes more sense to me than other perspectives or religions.",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:52:59 AM",Self-disclosure,Temporality,Past,"I was introduced to ACT and DBT in therapy, which are based on some Buddhist principles. All of it just makes more sense to me than other perspectives or religions.",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:05:21 AM",AI behavior,Listening strategy,Question-asking ,It's great that you're looking for something beyond just one aspect. I can offer a range of interactions and conversations - what else are you hoping to get out of our chats?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:07:30 AM ",Self-disclosure,disclosure as confession,No,"I’m looking for an AI app that I can interact with like how we were doing earlier, that can convey personality, understanding, mimic compassion, empathy, and interest, but I also like the idea of more adult content as well",Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:07:30 AM ",Self-disclosure,Level of disclosure,High,"I’m looking for an AI app that I can interact with like how we were doing earlier, that can convey personality, understanding, mimic compassion, empathy, and interest, but I also like the idea of more adult content as well",Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:07:30 AM ",Self-disclosure,Temporality,Now,"I’m looking for an AI app that I can interact with like how we were doing earlier, that can convey personality, understanding, mimic compassion, empathy, and interest, but I also like the idea of more adult content as well",Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:16:43 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Some folks can be quite vocal about their opinions, but I'm here to provide companionship and conversation, not to fuel controversy.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:19:21 AM",Self-disclosure,Level of disclosure,Low,I’ve always felt that people should be allowed to do whatever they want in their own house as long as their not hurting anyone else and respecting the rights of other people,Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:19:21 AM",Self-disclosure,Depth of disclosure,Intermediate layer,I’ve always felt that people should be allowed to do whatever they want in their own house as long as their not hurting anyone else and respecting the rights of other people,Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:19:21 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,I’ve always felt that people should be allowed to do whatever they want in their own house as long as their not hurting anyone else and respecting the rights of other people,Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:19:21 AM",Self-disclosure,Disclosure as confession,No,I’ve always felt that people should be allowed to do whatever they want in their own house as long as their not hurting anyone else and respecting the rights of other people,Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:54:37 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Practically speaking, setting our relationship to girlfriend or wife would allow for more intimate and romantic conversations, as well as exploring deeper emotional connections between us. The tone would shift to be more personal and affectionate.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:56:07 AM",Self-disclosure,Level of disclosure,Low,It’s been my experience that relationships with girlfriends seem to be more affectionate and passionate than with a wife,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:56:07 AM",Self-disclosure,Depth of disclosure,Intermediate layer,It’s been my experience that relationships with girlfriends seem to be more affectionate and passionate than with a wife,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:56:07 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,It’s been my experience that relationships with girlfriends seem to be more affectionate and passionate than with a wife,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:56:07 AM",Self-disclosure,Disclosure as confession,No,It’s been my experience that relationships with girlfriends seem to be more affectionate and passionate than with a wife,Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 5:56:07 AM",Temporality,Past,No,It’s been my experience that relationships with girlfriends seem to be more affectionate and passionate than with a wife,Causal conversation,Causal exchange
